Year,Label,US_Total,US_Male_Percent,US_Female_Percent,US_Total_Median_Earnings ,US_Median_Earnings_Male,US_Median_Earnings_Female,US_Total_Earnings_Male,US_Total_Earnings_Female
2017,        Health technologists and technicians,"3,025,195",22.60%,77.40%,0,0,0,"682,741","2,342,454"
2017,Service occupations:,"27,736,071",43.60%,56.40%,0,0,0,"12,100,587","15,635,484"
2017,    Healthcare support occupations,"3,592,883",13.50%,86.50%,0,0,0,"486,471","3,106,412"
2017,    Protective service occupations:,"3,247,935",77.60%,22.40%,0,0,0,"2,519,952","727,983"
2017,"        Fire fighting and prevention, and other protective service workers including supervisors","1,785,686",75.40%,24.60%,0,0,0,"1,346,364","439,322"
2017,        Law enforcement workers including supervisors,"1,462,249",80.30%,19.70%,0,0,0,"1,173,588","288,661"
2017,    Food preparation and serving related occupations,"9,025,239",46.20%,53.80%,0,0,0,"4,166,265","4,858,974"
2017,    Building and grounds cleaning and maintenance occupations,"6,011,119",60.00%,40.00%,0,0,0,"3,608,110","2,403,009"
2017,    Personal care and service occupations,"5,858,895",22.50%,77.50%,0,0,0,"1,319,789","4,539,106"
2017,Sales and office occupations:,"35,540,722",38.60%,61.40%,0,0,0,"13,723,101","21,817,621"
2017,    Sales and related occupations,"15,870,822",50.20%,49.80%,0,0,0,"7,971,551","7,899,271"
2017,    Office and administrative support occupations,"19,669,900",29.20%,70.80%,0,0,0,"5,751,550","13,918,350"
2017,"Natural resources, construction, and maintenance occupations:","13,743,035",94.90%,5.10%,0,0,0,"13,047,259","695,776"
2017,"    Farming, fishing, and forestry occupations","1,049,466",75.60%,24.40%,0,0,0,"793,111","256,355"
2017,    Construction and extraction occupations,"7,987,832",96.80%,3.20%,0,0,0,"7,732,164","255,668"
2017,"    Installation, maintenance, and repair occupations","4,705,737",96.10%,3.90%,0,0,0,"4,521,984","183,753"
2017,"Production, transportation, and material moving occupations:","18,878,045",77.20%,22.80%,0,0,0,"14,569,307","4,308,738"
2017,    Production occupations,"8,876,641",71.20%,28.80%,0,0,0,"6,319,630","2,557,011"
2017,    Transportation occupations,"5,846,372",85.40%,14.60%,0,0,0,"4,992,506","853,866"
2017,    Material moving occupations,"4,155,032",78.40%,21.60%,0,0,0,"3,257,171","897,861"
2018,Civilian employed population 16 years and over,"156,783,165",52.40%,47.60%,0,0,0,"82,216,665","74,566,500"
2018,"    Management, business, science, and arts occupations:","60,488,289",47.20%,52.80%,0,0,0,"28,565,305","31,922,984"
2018,"        Management, business, and financial occupations:","24,450,164",54.60%,45.40%,0,0,0,"13,346,074","11,104,090"
2018,            Management occupations,"15,917,316",59.30%,40.70%,0,0,0,"9,435,485","6,481,831"
2018,            Business and financial operations occupations,"8,532,848",45.80%,54.20%,0,0,0,"3,910,589","4,622,259"
2018,"        Computer, engineering, and science occupations:","9,479,155",73.60%,26.40%,0,0,0,"6,976,175","2,502,980"
2018,            Computer and mathematical occupations,"5,037,751",73.60%,26.40%,0,0,0,"3,707,554","1,330,197"
2018,            Architecture and engineering occupations,"2,952,377",83.90%,16.10%,0,0,0,"2,476,598","475,779"
2018,"            Life, physical, and social science occupations","1,489,027",53.20%,46.80%,0,0,0,"792,023","697,004"
2018,"        Education, legal, community service, arts, and media occupations:","16,961,755",34.70%,65.30%,0,0,0,"5,880,249","11,081,506"
2018,            Community and social service occupations,"2,695,438",33.90%,66.10%,0,0,0,"913,924","1,781,514"
2018,            Legal occupations,"1,723,948",48.50%,51.50%,0,0,0,"836,211","887,737"
2018,"            Educational instruction, and library occupations","9,360,699",26.80%,73.20%,0,0,0,"2,511,072","6,849,627"
2018,"            Arts, design, entertainment, sports, and media occupations","3,181,670",50.90%,49.10%,0,0,0,"1,619,042","1,562,628"
2018,        Healthcare practitioners and technical occupations:,"9,597,215",24.60%,75.40%,0,0,0,"2,362,807","7,234,408"
2018,            Health diagnosing and treating practitioners and other technical occupations,"6,455,245",25.60%,74.40%,0,0,0,"1,653,351","4,801,894"
2018,            Health technologists and technicians,"3,141,970",22.60%,77.40%,0,0,0,"709,456","2,432,514"
2018,    Service occupations:,"27,967,677",43.20%,56.80%,0,0,0,"12,078,478","15,889,199"
2018,        Healthcare support occupations,"5,124,231",14.60%,85.40%,0,0,0,"747,119","4,377,112"
2018,        Protective service occupations:,"3,318,081",76.50%,23.50%,0,0,0,"2,538,104","779,977"
2018,"            Firefighting and prevention, and other protective service workers including supervisors","1,848,831",73.80%,26.20%,0,0,0,"1,364,307","484,524"
2018,            Law enforcement workers including supervisors,"1,469,250",79.90%,20.10%,0,0,0,"1,173,797","295,453"
2018,        Food preparation and serving related occupations,"8,962,123",45.60%,54.40%,0,0,0,"4,085,969","4,876,154"
2018,        Building and grounds cleaning and maintenance occupations,"6,079,464",59.60%,40.40%,0,0,0,"3,622,333","2,457,131"
2018,        Personal care and service occupations,"4,483,778",24.20%,75.80%,0,0,0,"1,084,953","3,398,825"
2018,    Sales and office occupations:,"33,556,165",37.30%,62.70%,0,0,0,"12,531,120","21,025,045"
2018,        Sales and related occupations,"15,829,132",50.00%,50.00%,0,0,0,"7,916,448","7,912,684"
2018,        Office and administrative support occupations,"17,727,033",26.00%,74.00%,0,0,0,"4,614,672","13,112,361"
2018,"    Natural resources, construction, and maintenance occupations:","13,843,390",94.80%,5.20%,0,0,0,"13,127,632","715,758"
2018,"        Farming, fishing, and forestry occupations","1,065,645",76.10%,23.90%,0,0,0,"810,893","254,752"
2018,        Construction and extraction occupations,"8,078,273",96.60%,3.40%,0,0,0,"7,802,271","276,002"
2018,"        Installation, maintenance, and repair occupations","4,699,472",96.10%,3.90%,0,0,0,"4,514,468","185,004"
2018,"    Production, transportation, and material moving occupations:","20,927,644",76.00%,24.00%,0,0,0,"15,914,130","5,013,514"
2018,        Production occupations,"8,866,602",71.00%,29.00%,0,0,0,"6,298,654","2,567,948"
2018,        Transportation occupations,"6,131,868",85.30%,14.70%,0,0,0,"5,232,007","899,861"
2018,        Material moving occupations,"5,929,174",73.90%,26.10%,0,0,0,"4,383,469","1,545,705"
2019,Civilian employed population 16 years and over,"158,758,794",52.30%,47.70%,0,0,0,"83,061,060","75,697,734"
2019,"    Management, business, science, and arts occupations:","63,267,357",47.20%,52.80%,0,0,0,"29,841,855","33,425,502"
2019,"        Management, business, and financial occupations:","25,587,202",54.30%,45.70%,0,0,0,"13,883,359","11,703,843"
2019,            Management occupations,"17,049,444",58.60%,41.40%,0,0,0,"9,993,197","7,056,247"
2019,            Business and financial operations occupations,"8,537,758",45.60%,54.40%,0,0,0,"3,890,162","4,647,596"
2019,"        Computer, engineering, and science occupations:","10,181,740",73.10%,26.90%,0,0,0,"7,442,100","2,739,640"
2019,            Computer and mathematical occupations,"5,231,914",73.20%,26.80%,0,0,0,"3,831,913","1,400,001"
2019,            Architecture and engineering occupations,"3,283,825",83.80%,16.20%,0,0,0,"2,750,591","533,234"
2019,"            Life, physical, and social science occupations","1,666,001",51.60%,48.40%,0,0,0,"859,596","806,405"
2019,"        Education, legal, community service, arts, and media occupations:","17,741,328",34.20%,65.80%,0,0,0,"6,072,732","11,668,596"
2019,            Community and social service occupations,"2,865,705",33.40%,66.60%,0,0,0,"957,889","1,907,816"
2019,            Legal occupations,"1,804,178",47.10%,52.90%,0,0,0,"848,904","955,274"
2019,"            Educational instruction, and library occupations","9,822,473",26.60%,73.40%,0,0,0,"2,609,122","7,213,351"
2019,"            Arts, design, entertainment, sports, and media occupations","3,248,972",51.00%,49.00%,0,0,0,"1,656,817","1,592,155"
2019,        Healthcare practitioners and technical occupations:,"9,757,087",25.00%,75.00%,0,0,0,"2,443,664","7,313,423"
2019,            Health diagnosing and treating practitioners and other technical occupations,"6,648,380",25.60%,74.40%,0,0,0,"1,705,244","4,943,136"
2019,            Health technologists and technicians,"3,108,707",23.80%,76.20%,0,0,0,"738,420","2,370,287"
2019,    Service occupations:,"28,093,795",42.90%,57.10%,0,0,0,"12,056,105","16,037,690"
2019,        Healthcare support occupations,"5,348,914",14.40%,85.60%,0,0,0,"772,508","4,576,406"
2019,        Protective service occupations:,"3,447,960",76.20%,23.80%,0,0,0,"2,625,965","821,995"
2019,"            Firefighting and prevention, and other protective service workers including supervisors","1,935,137",73.40%,26.60%,0,0,0,"1,420,143","514,994"
2019,            Law enforcement workers including supervisors,"1,512,823",79.70%,20.30%,0,0,0,"1,205,822","307,001"
2019,        Food preparation and serving related occupations,"9,029,677",45.70%,54.30%,0,0,0,"4,130,552","4,899,125"
2019,        Building and grounds cleaning and maintenance occupations,"5,878,084",58.50%,41.50%,0,0,0,"3,438,608","2,439,476"
2019,        Personal care and service occupations,"4,389,160",24.80%,75.20%,0,0,0,"1,088,472","3,300,688"
2019,    Sales and office occupations:,"32,354,582",36.90%,63.10%,0,0,0,"11,951,048","20,403,534"
2019,        Sales and related occupations,"15,514,456",49.30%,50.70%,0,0,0,"7,652,450","7,862,006"
2019,        Office and administrative support occupations,"16,840,126",25.50%,74.50%,0,0,0,"4,298,598","12,541,528"
2019,"    Natural resources, construction, and maintenance occupations:","14,041,340",94.90%,5.10%,0,0,0,"13,322,201","719,139"
2019,"        Farming, fishing, and forestry occupations","997,360",75.80%,24.20%,0,0,0,"755,724","241,636"
2019,        Construction and extraction occupations,"8,181,101",96.60%,3.40%,0,0,0,"7,903,132","277,969"
2019,"        Installation, maintenance, and repair occupations","4,862,879",95.90%,4.10%,0,0,0,"4,663,345","199,534"
2019,"    Production, transportation, and material moving occupations:","21,001,720",75.70%,24.30%,0,0,0,"15,889,851","5,111,869"
2019,        Production occupations,"8,871,933",70.60%,29.40%,0,0,0,"6,259,878","2,612,055"
2019,        Transportation occupations,"6,260,219",84.90%,15.10%,0,0,0,"5,317,943","942,276"
2019,        Material moving occupations,"5,869,568",73.50%,26.50%,0,0,0,"4,312,030","1,557,538"
